
2022/08/01 (15:28:24) | ===> btop++ v.1.2.8
2022/08/01 (15:28:24) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:28:40) | ERROR: Stall in Runner thread, restarting!

2022/08/01 (15:29:16) | ===> btop++ v.1.2.8
2022/08/01 (15:29:16) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:29:32) | ERROR: Stall in Runner thread, restarting!

2022/08/01 (15:29:47) | ===> btop++ v.1.2.8
2022/08/01 (15:29:47) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:29:47) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:30:03) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:30:19) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:30:34) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:30:51) | ERROR: Stall in Runner thread, restarting!

2022/08/01 (15:32:53) | ===> btop++ v.1.2.8
2022/08/01 (15:32:53) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:33:09) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:33:25) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:33:41) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:33:56) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:34:12) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:34:27) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:34:43) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:34:59) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:35:15) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:35:30) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:35:46) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:36:02) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:36:18) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:36:28) | WARNING: Failed to join _runner thread on exit!
2022/08/01 (15:36:28) | ERROR: Runner thread died unexpectedly!

2022/08/01 (15:36:49) | ===> btop++ v.1.2.8
2022/08/01 (15:36:49) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:37:05) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:37:21) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:37:37) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:37:52) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:37:52) | WARNING: Failed to join _runner thread on exit!

2022/08/01 (15:38:17) | ===> btop++ v.1.2.8
2022/08/01 (15:38:17) | ERROR: Stall in Runner thread, restarting!

2022/08/01 (15:39:42) | ===> btop++ v.1.2.8
2022/08/01 (15:39:42) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:39:59) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:40:14) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:40:30) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:40:45) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:41:01) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:41:17) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:41:33) | ERROR: Stall in Runner thread, restarting!

2022/08/01 (15:43:58) | ===> btop++ v.1.2.8
2022/08/01 (15:43:58) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:44:14) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:44:29) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:44:45) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (15:44:45) | WARNING: Failed to join _runner thread on exit!

